GET http://localhost:8090/ name=http://localhost:8090/ type=serv linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=11230 notes=4 sig=0x4cacdc1b
GET http://localhost:8090/wavsep/ name=wavsep type=dir linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=1504 notes=2 sig=0x2a718139
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case10-InjectionInSearchOrderBy-Numeric-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=from name=from type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1496 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case10-InjectionInSearchOrderBy-Numeric-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=in name=in type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1492 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case10-InjectionInSearchOrderBy-Numeric-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=Index name=Index type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1498 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case10-InjectionInSearchOrderBy-Numeric-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=into name=into type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1496 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case10-InjectionInSearchOrderBy-Numeric-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=is name=is type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1492 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case10-InjectionInSearchOrderBy-Numeric-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=Match name=Match type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1488 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case10-InjectionInSearchOrderBy-Numeric-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=Numeric name=Numeric type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1502 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case10-InjectionInSearchOrderBy-Numeric-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=or name=or type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1492 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case10-InjectionInSearchOrderBy-Numeric-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=order name=order type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1498 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case10-InjectionInSearchOrderBy-Numeric-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=right name=right type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1488 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case10-InjectionInSearchOrderBy-Numeric-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=Sql name=Sql type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1494 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case10-InjectionInSearchOrderBy-Numeric-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=SQL-Injection name=SQL-Injection type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1514 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case10-InjectionInSearchOrderBy-Numeric-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=TABLE name=TABLE type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1498 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case10-InjectionInSearchOrderBy-Numeric-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=to name=to type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1492 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case10-InjectionInSearchOrderBy-Numeric-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=UPDATE name=UPDATE type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1500 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case10-InjectionInSearchOrderBy-Numeric-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=values name=values type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1488 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case10-InjectionInSearchOrderBy-Numeric-BinaryDeliberateRuntimeError-WithErrors.jsp DATA:orderby=With name=With type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1488 notes=3 sig=0x429248b7
GET http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case11-InjectionInView-Date-PermissionBypass-WithErrors.jsp name=Case11-InjectionInView-Date-PermissionBypass-WithErrors.jsp type=file linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=675 notes=2 sig=0x5b26174d
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case11-InjectionInView-Date-PermissionBypass-WithErrors.jsp DATA:transactionDate=2010-01-01 name=transactionDate type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=611 notes=4 sig=0x58904322
GET http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case12-InjectionInSearch-Date-UnionExploit-WithErrors.jsp name=Case12-InjectionInSearch-Date-UnionExploit-WithErrors.jsp type=file linked=yes browsers=0 browser_used=FAST dup=1 code=200 len=634 notes=2 sig=0x5b26174d
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case12-InjectionInSearch-Date-UnionExploit-WithErrors.jsp DATA:transactionDate=2010-01-01 name=transactionDate type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=596 notes=4 sig=0x58904322
GET http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case13-InjectionInCalc-Date-BooleanExploit-WithErrors.jsp name=Case13-InjectionInCalc-Date-BooleanExploit-WithErrors.jsp type=file linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=645 notes=2 sig=0x5b25174d
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case13-InjectionInCalc-Date-BooleanExploit-WithErrors.jsp DATA:transactionDate=2010-01-01 name=transactionDate type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=376 notes=3 sig=0x28f78809
GET http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case14-InjectionInUpdate-Date-CommandInjection-WithErrors.jsp name=Case14-InjectionInUpdate-Date-CommandInjection-WithErrors.jsp type=file linked=yes browsers=0 browser_used=FAST dup=1 code=200 len=671 notes=2 sig=0x5b25174d
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case14-InjectionInUpdate-Date-CommandInjection-WithErrors.jsp DATA:transactionDate=2010-02-02 name=transactionDate type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=350 notes=3 sig=0x28f78809
GET http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case15-InjectionInSearch-DateWithoutQuotes-UnionExploit-WithErrors.jsp name=Case15-InjectionInSearch-DateWithoutQuotes-UnionExploit-WithErrors.jsp type=file linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=685 notes=2 sig=0x5b691768
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case15-InjectionInSearch-DateWithoutQuotes-UnionExploit-WithErrors.jsp DATA:transactionDate=2010-01-01 name=transactionDate type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=530 notes=3 sig=0x5af81620
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case15-InjectionInSearch-DateWithoutQuotes-UnionExploit-WithErrors.jsp DATA:transactionDate=and name=and type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1494 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case15-InjectionInSearch-DateWithoutQuotes-UnionExploit-WithErrors.jsp DATA:transactionDate=BY name=BY type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1492 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case15-InjectionInSearch-DateWithoutQuotes-UnionExploit-WithErrors.jsp DATA:transactionDate=Case name=Case type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1488 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case15-InjectionInSearch-DateWithoutQuotes-UnionExploit-WithErrors.jsp DATA:transactionDate=Case06-InjectionInView-Numeric-PermissionBypass-WithErrors name=Case06-InjectionInView-Numeric-PermissionBypass-WithErrors type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1558 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case15-InjectionInSearch-DateWithoutQuotes-UnionExploit-WithErrors.jsp DATA:transactionDate=Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors name=Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1550 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case15-InjectionInSearch-DateWithoutQuotes-UnionExploit-WithErrors.jsp DATA:transactionDate=Case08-InjectionInCalc-Numeric-BooleanExploit-WithErrors name=Case08-InjectionInCalc-Numeric-BooleanExploit-WithErrors type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1554 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case15-InjectionInSearch-DateWithoutQuotes-UnionExploit-WithErrors.jsp DATA:transactionDate=Case09-InjectionInUpdate-Numeric-CommandInjection-WithErrors name=Case09-InjectionInUpdate-Numeric-CommandInjection-WithErrors type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1558 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case15-InjectionInSearch-DateWithoutQuotes-UnionExploit-WithErrors.jsp DATA:transactionDate=check name=check type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1498 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case15-InjectionInSearch-DateWithoutQuotes-UnionExploit-WithErrors.jsp DATA:transactionDate=column name=column type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1500 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case15-InjectionInSearch-DateWithoutQuotes-UnionExploit-WithErrors.jsp DATA:transactionDate=div name=div type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1494 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case15-InjectionInSearch-DateWithoutQuotes-UnionExploit-WithErrors.jsp DATA:transactionDate=Double name=Double type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1500 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case15-InjectionInSearch-DateWithoutQuotes-UnionExploit-WithErrors.jsp DATA:transactionDate=for name=for type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1494 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case15-InjectionInSearch-DateWithoutQuotes-UnionExploit-WithErrors.jsp DATA:transactionDate=from name=from type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1496 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case15-InjectionInSearch-DateWithoutQuotes-UnionExploit-WithErrors.jsp DATA:transactionDate=in name=in type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1492 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case15-InjectionInSearch-DateWithoutQuotes-UnionExploit-WithErrors.jsp DATA:transactionDate=index name=index type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1498 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case15-InjectionInSearch-DateWithoutQuotes-UnionExploit-WithErrors.jsp DATA:transactionDate=into name=into type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1496 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case15-InjectionInSearch-DateWithoutQuotes-UnionExploit-WithErrors.jsp DATA:transactionDate=Match name=Match type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1488 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case15-InjectionInSearch-DateWithoutQuotes-UnionExploit-WithErrors.jsp DATA:transactionDate=numeric name=numeric type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1502 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case15-InjectionInSearch-DateWithoutQuotes-UnionExploit-WithErrors.jsp DATA:transactionDate=OR name=OR type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1492 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case15-InjectionInSearch-DateWithoutQuotes-UnionExploit-WithErrors.jsp DATA:transactionDate=ORDER name=ORDER type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1498 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case15-InjectionInSearch-DateWithoutQuotes-UnionExploit-WithErrors.jsp DATA:transactionDate=require name=require type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1502 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case15-InjectionInSearch-DateWithoutQuotes-UnionExploit-WithErrors.jsp DATA:transactionDate=right name=right type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1488 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case15-InjectionInSearch-DateWithoutQuotes-UnionExploit-WithErrors.jsp DATA:transactionDate=schema name=schema type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1488 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case15-InjectionInSearch-DateWithoutQuotes-UnionExploit-WithErrors.jsp DATA:transactionDate=SET name=SET type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1494 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case15-InjectionInSearch-DateWithoutQuotes-UnionExploit-WithErrors.jsp DATA:transactionDate=Specific name=Specific type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1504 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case15-InjectionInSearch-DateWithoutQuotes-UnionExploit-WithErrors.jsp DATA:transactionDate=Sql name=Sql type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1494 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case15-InjectionInSearch-DateWithoutQuotes-UnionExploit-WithErrors.jsp DATA:transactionDate=SQL-Injection name=SQL-Injection type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1514 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case15-InjectionInSearch-DateWithoutQuotes-UnionExploit-WithErrors.jsp DATA:transactionDate=TABLE name=TABLE type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1498 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case15-InjectionInSearch-DateWithoutQuotes-UnionExploit-WithErrors.jsp DATA:transactionDate=to name=to type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1492 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case15-InjectionInSearch-DateWithoutQuotes-UnionExploit-WithErrors.jsp DATA:transactionDate=transactionDate name=transactionDate type=value linked=no browsers=0 browser_used=FAST dup=0 code=200 len=1178 notes=1 sig=0xff7fffff
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case15-InjectionInSearch-DateWithoutQuotes-UnionExploit-WithErrors.jsp DATA:transactionDate=Update name=Update type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1500 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case15-InjectionInSearch-DateWithoutQuotes-UnionExploit-WithErrors.jsp DATA:transactionDate=use name=use type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1494 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case15-InjectionInSearch-DateWithoutQuotes-UnionExploit-WithErrors.jsp DATA:transactionDate=values name=values type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1488 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case15-InjectionInSearch-DateWithoutQuotes-UnionExploit-WithErrors.jsp DATA:transactionDate=where name=where type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1498 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case15-InjectionInSearch-DateWithoutQuotes-UnionExploit-WithErrors.jsp DATA:transactionDate=with name=with type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1488 notes=3 sig=0x429248b7
GET http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case16-InjectionInView-NumericWithoutQuotes-PermissionBypass-WithErrors.jsp name=Case16-InjectionInView-NumericWithoutQuotes-PermissionBypass-WithErrors.jsp type=file linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=730 notes=2 sig=0x28f7f050
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case16-InjectionInView-NumericWithoutQuotes-PermissionBypass-WithErrors.jsp DATA:transactionId=1 name=transactionId type=param linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=556 notes=3 sig=0xf91ad5f2
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case16-InjectionInView-NumericWithoutQuotes-PermissionBypass-WithErrors.jsp DATA:transactionId=and name=and type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1520 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case16-InjectionInView-NumericWithoutQuotes-PermissionBypass-WithErrors.jsp DATA:transactionId=by name=by type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1518 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case16-InjectionInView-NumericWithoutQuotes-PermissionBypass-WithErrors.jsp DATA:transactionId=Case name=Case type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1512 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case16-InjectionInView-NumericWithoutQuotes-PermissionBypass-WithErrors.jsp DATA:transactionId=Case06-InjectionInView-Numeric-PermissionBypass-WithErrors name=Case06-InjectionInView-Numeric-PermissionBypass-WithErrors type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1584 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case16-InjectionInView-NumericWithoutQuotes-PermissionBypass-WithErrors.jsp DATA:transactionId=Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors name=Case07-InjectionInSearch-Numeric-UnionExploit-WithErrors type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1576 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case16-InjectionInView-NumericWithoutQuotes-PermissionBypass-WithErrors.jsp DATA:transactionId=Case08-InjectionInCalc-Numeric-BooleanExploit-WithErrors name=Case08-InjectionInCalc-Numeric-BooleanExploit-WithErrors type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1580 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case16-InjectionInView-NumericWithoutQuotes-PermissionBypass-WithErrors.jsp DATA:transactionId=Case09-InjectionInUpdate-Numeric-CommandInjection-WithErrors name=Case09-InjectionInUpdate-Numeric-CommandInjection-WithErrors type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1584 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case16-InjectionInView-NumericWithoutQuotes-PermissionBypass-WithErrors.jsp DATA:transactionId=change name=change type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1526 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case16-InjectionInView-NumericWithoutQuotes-PermissionBypass-WithErrors.jsp DATA:transactionId=check name=check type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1524 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case16-InjectionInView-NumericWithoutQuotes-PermissionBypass-WithErrors.jsp DATA:transactionId=column name=column type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1526 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case16-InjectionInView-NumericWithoutQuotes-PermissionBypass-WithErrors.jsp DATA:transactionId=div name=div type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1520 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case16-InjectionInView-NumericWithoutQuotes-PermissionBypass-WithErrors.jsp DATA:transactionId=Double name=Double type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1526 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case16-InjectionInView-NumericWithoutQuotes-PermissionBypass-WithErrors.jsp DATA:transactionId=for name=for type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1520 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case16-InjectionInView-NumericWithoutQuotes-PermissionBypass-WithErrors.jsp DATA:transactionId=from name=from type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1522 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case16-InjectionInView-NumericWithoutQuotes-PermissionBypass-WithErrors.jsp DATA:transactionId=in name=in type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1518 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case16-InjectionInView-NumericWithoutQuotes-PermissionBypass-WithErrors.jsp DATA:transactionId=index name=index type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1524 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case16-InjectionInView-NumericWithoutQuotes-PermissionBypass-WithErrors.jsp DATA:transactionId=into name=into type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1522 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case16-InjectionInView-NumericWithoutQuotes-PermissionBypass-WithErrors.jsp DATA:transactionId=is name=is type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1518 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case16-InjectionInView-NumericWithoutQuotes-PermissionBypass-WithErrors.jsp DATA:transactionId=Match name=Match type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1512 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case16-InjectionInView-NumericWithoutQuotes-PermissionBypass-WithErrors.jsp DATA:transactionId=Numeric name=Numeric type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1528 notes=3 sig=0x429248b7
POST http://localhost:8090/wavsep/active/SQL-Injection/SInjection-Detection-Evaluation-POST-500Error/Case16-InjectionInView-NumericWithoutQuotes-PermissionBypass-WithErrors.jsp DATA:transactionId=or name=or type=value linked=no browsers=0 browser_used=FAST dup=1 code=500 len=1518 notes=3 sig=0x429248b7
